Order_ID,Date,Customer,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-1001,2024-01-05,Acme Corp,North,Technology,Laptops,1850.50,2,0.05,370.10
ORD-1002,2024-01-12,Global Tech,West,Office Supplies,Paper,120.00,5,0.00,36.00
ORD-1003,2024-01-18,Starlight Retail,East,Furniture,Chairs,450.75,3,0.10,67.60
ORD-1004,2024-01-22,Apex Dynamics,South,Technology,Phones,920.00,1,0.00,230.00
ORD-1005,2024-02-03,Acme Corp,North,Office Supplies,Storage,310.20,4,0.15,46.50
ORD-1006,2024-02-10,Nexus Solutions,East,Furniture,Tables,780.00,2,0.20,78.00
ORD-1007,2024-02-15,Zenith Media,West,Technology,Accessories,150.00,6,0.00,52.50
ORD-1008,2024-02-28,Pinnacle Group,South,Office Supplies,Binders,85.40,10,0.05,25.60
ORD-1009,2024-03-04,Starlight Retail,East,Technology,Laptops,2400.00,2,0.10,480.00
ORD-1010,2024-03-11,Global Tech,West,Furniture,Bookcases,620.00,2,0.15,93.00
ORD-1011,2024-03-19,Vanguard Ltd,North,Office Supplies,Paper,95.00,4,0.00,28.50
ORD-1012,2024-03-27,Acme Corp,North,Technology,Monitors,540.00,2,0.05,108.00
ORD-1013,2024-04-02,Apex Dynamics,South,Furniture,Chairs,300.50,2,0.10,45.00
ORD-1014,2024-04-09,Nexus Solutions,East,Office Supplies,Appliances,420.00,1,0.00,105.00
ORD-1015,2024-04-16,Zenith Media,West,Technology,Phones,1150.00,1,0.05,287.50
ORD-1016,2024-04-23,Pinnacle Group,South,Furniture,Furnishings,190.00,5,0.20,19.00
ORD-1017,2024-05-01,Starlight Retail,East,Technology,Accessories,210.00,7,0.00,73.50
ORD-1018,2024-05-08,Global Tech,West,Office Supplies,Envelopes,65.00,8,0.00,19.50
ORD-1019,2024-05-15,Vanguard Ltd,North,Furniture,Tables,950.00,2,0.15,142.50
ORD-1020,2024-05-22,Apex Dynamics,South,Technology,Laptops,3100.00,3,0.12,620.00
ORD-1021,2024-06-04,Acme Corp,North,Office Supplies,Art,140.00,5,0.00,42.00
ORD-1022,2024-06-11,Nexus Solutions,East,Furniture,Chairs,600.00,4,0.10,90.00
ORD-1023,2024-06-18,Zenith Media,West,Technology,Monitors,810.00,3,0.05,162.00
ORD-1024,2024-06-25,Pinnacle Group,South,Office Supplies,Paper,110.00,6,0.00,33.00
ORD-1025,2024-07-02,Starlight Retail,East,Technology,Phones,1350.00,1,0.00,337.50
ORD-1026,2024-07-09,Global Tech,West,Furniture,Tables,890.00,2,0.20,89.00
ORD-1027,2024-07-16,Vanguard Ltd,North,Office Supplies,Storage,275.00,3,0.10,41.25
ORD-1028,2024-07-23,Acme Corp,North,Technology,Accessories,320.00,8,0.00,112.00
ORD-1029,2024-08-05,Apex Dynamics,South,Furniture,Bookcases,540.00,2,0.15,81.00
ORD-1030,2024-08-12,Nexus Solutions,East,Technology,Laptops,2100.00,2,0.05,420.00
ORD-1031,2024-08-19,Zenith Media,West,Office Supplies,Fasteners,45.00,12,0.00,13.50
ORD-1032,2024-08-26,Pinnacle Group,South,Furniture,Chairs,480.00,3,0.10,72.00
ORD-1033,2024-09-02,Starlight Retail,East,Office Supplies,Labels,70.00,10,0.00,21.00
ORD-1034,2024-09-09,Global Tech,West,Technology,Phones,980.00,1,0.05,245.00
ORD-1035,2024-09-16,Vanguard Ltd,North,Furniture,Furnishings,230.00,4,0.15,23.00
ORD-1036,2024-09-23,Acme Corp,North,Technology,Laptops,2600.00,2,0.10,520.00
ORD-1037,2024-10-04,Apex Dynamics,South,Office Supplies,Appliances,510.00,2,0.00,127.50
ORD-1038,2024-10-11,Nexus Solutions,East,Furniture,Tables,1020.00,2,0.25,102.00
ORD-1039,2024-10-18,Zenith Media,West,Technology,Accessories,180.00,5,0.00,63.00
ORD-1040,2024-10-25,Pinnacle Group,South,Office Supplies,Paper,130.00,7,0.00,39.00
ORD-1041,2024-11-03,Starlight Retail,East,Technology,Monitors,790.00,2,0.05,158.00
ORD-1042,2024-11-10,Global Tech,West,Furniture,Chairs,520.00,3,0.10,78.00
ORD-1043,2024-11-17,Vanguard Ltd,North,Office Supplies,Storage,340.00,4,0.10,51.00
ORD-1044,2024-11-24,Acme Corp,North,Technology,Phones,1420.00,1,0.00,355.00
ORD-1045,2024-12-02,Apex Dynamics,South,Technology,Laptops,3400.00,3,0.15,680.00
ORD-1046,2024-12-09,Nexus Solutions,East,Office Supplies,Paper,160.00,8,0.00,48.00
ORD-1047,2024-12-16,Zenith Media,West,Furniture,Bookcases,710.00,2,0.10,106.50
ORD-1048,2024-12-22,Pinnacle Group,South,Technology,Accessories,290.00,6,0.00,101.50
ORD-1049,2024-12-27,Starlight Retail,East,Furniture,Tables,880.00,2,0.15,132.00
ORD-1050,2024-12-30,Global Tech,West,Technology,Laptops,2750.00,2,0.08,550.00
